month,ticker,regime,V,phi,H,entropy_gap,ps_raw,ps_own_z,cs_z,hc_flag,hc_cs_flag,n_corp,n_structural
2026-03,AMZN,positive,663,0.2836,0.0664,0.9336,175.5214,0.0,0.0,False,False,663,188
2026-03,CRM,positive,201,0.0249,0.0,1.0,5.0,0.0,0.0,False,False,201,5
2026-03,DDOG,negative,1969,0.1219,0.5668,0.4332,103.9762,0.0,0.0,False,False,1969,240
2026-03,GTLB,negative,772,0.0453,0.8205,0.1795,6.2826,0.0,0.0,False,False,772,35
2026-03,MSFT,positive,2487,0.0877,0.0,1.0,218.0,0.0,0.0,False,False,2487,218
2026-03,SNOW,positive,175,0.1771,0.9205,0.0795,2.466,0.0,0.0,False,False,175,31
2026-03,TWLO,negative,48,0.4375,0.9907,0.0093,0.1953,0.0,0.0,False,False,48,21
2026-04,AMZN,positive,757,0.3012,0.0505,0.9495,216.4784,0.0,0.0,False,False,757,228
2026-04,CRM,positive,268,0.0261,0.0,1.0,7.0,0.0,0.0,False,False,268,7
2026-04,DDOG,negative,2136,0.1287,0.5641,0.4359,119.8683,0.0,0.0,False,False,2136,275
2026-04,GTLB,negative,862,0.051,0.8922,0.1078,4.7447,0.0,0.0,False,False,862,44
2026-04,MSFT,positive,2309,0.0879,0.0,1.0,203.0,0.0,0.0,False,False,2309,203
2026-04,SNOW,positive,203,0.1724,0.9525,0.0475,1.6635,0.0,0.0,False,False,203,35
2026-04,TWLO,negative,41,0.4634,0.9969,0.0031,0.0591,0.0,0.0,False,False,41,19
2026-05,AMZN,positive,1031,0.4908,0.0206,0.9794,495.5772,1.1467,0.6879,False,False,1031,506
2026-05,BABA,positive,1811,0.5572,0.6353,0.3647,367.9411,2.5393,1.8018,True,True,1811,1009
2026-05,CRM,positive,264,0.0265,0.0,1.0,7.0,0.5774,0.2326,False,False,264,7
2026-05,DDOG,negative,2058,0.1254,0.521,0.479,123.5914,0.7467,0.368,False,False,2058,258
2026-05,GTLB,negative,427,0.0562,0.343,0.657,15.7692,1.1451,0.6867,False,False,427,24
2026-05,MNDY,negative,91,0.0879,0.4056,0.5944,4.7549,-0.9184,-0.9638,False,False,91,8
2026-05,MSFT,positive,2003,0.0839,0.0,1.0,168.0,-1.1043,-1.1125,False,False,2003,168
2026-05,SNOW,positive,194,0.1598,0.9507,0.0493,1.5275,-0.7062,-0.7941,False,False,194,31
2026-05,TWLO,negative,41,0.4878,1.0,0.0,0.0,-0.8467,-0.9065,False,False,41,20
2026-06,AMZN,positive,1176,0.5646,0.0163,0.9837,653.1844,1.1736,0.8184,False,False,1176,664
2026-06,BABA,positive,1847,0.5836,0.6366,0.3634,391.7341,2.6792,2.0353,True,True,1847,1078
2026-06,CRM,positive,364,0.0192,0.0,1.0,7.0,0.5,0.274,False,False,364,7
2026-06,DDOG,negative,1861,0.1188,0.4826,0.5174,114.3381,-0.1295,-0.2347,False,False,1861,221
2026-06,GTLB,negative,399,0.0526,0.3733,0.6267,13.1606,0.5968,0.3523,False,False,399,21
2026-06,MNDY,negative,93,0.0645,0.4591,0.5409,3.2451,-1.1421,-1.0531,False,False,93,6
2026-06,MSFT,positive,1786,0.1041,0.0,1.0,186.0,-0.3592,-0.4204,False,False,1786,186
2026-06,SNOW,positive,142,0.2113,0.9723,0.0277,0.8307,-1.1799,-1.0837,False,False,142,30
2026-06,TWLO,negative,27,0.4444,1.0,0.0,0.0,-0.6904,-0.6881,False,False,27,12
